Title,Published_date,Views,Likes,Dislikes,Comments,video_id
Never seen before Seatbelt EVER,2022-09-20T12:13:20Z,268568,21590,,177,18mx8iPCNnA
This is a SUPER FUN SUV for all!,2022-09-19T05:30:04Z,230416,3464,,281,JI7-UEIJMnI
Best Car to Buy 15 lakhs - LIVE,2022-09-18T14:08:43Z,25458,1294,,58,pHclBT1w5hA
Hyundai Creta's true rival is here from Maruti!,2022-09-18T05:00:06Z,349029,7851,,641,IR-oRfhnJmE
Hyundai Tucson ka Super COOL Feature,2022-09-17T11:35:04Z,285324,21066,,113,nQPTPIrU3dw
Toyota Hyryder ka chota bhai.,2022-09-16T14:30:08Z,375061,5429,,245,eEg50on475g
Citroen ka Super Unique Feature!,2022-09-15T08:14:34Z,273168,21027,,159,GHO3DYvTjZs
This Beast SUV should replace Endeavour.,2022-09-14T08:44:14Z,459949,7735,,433,mongXLCje2I
Gaadi ka Kamaal ka Logo!,2022-09-13T14:30:08Z,1029798,88990,,235,cAReBwynZIU
Most Important seat in a car,2022-09-13T09:48:37Z,106080,5850,,29,8T-ga2Mf0fc
Kya aapko bhi ye Cool Feature chahiye?,2022-09-12T07:05:14Z,339346,29427,,71,E2VvwBxaM8Q
Mahindra XUV400 is here - Why wait for Tesla?,2022-09-11T10:30:06Z,655289,13000,,770,J0C0xXe9vJE
Best Car in 13 lakhs - LIVE,2022-09-11T06:43:07Z,37119,1703,,125,JUKoMy42iaQ
Mahindra XUV700 - All 7 Airbags Open,2022-09-10T09:56:14Z,1679505,114063,,288,nH8BBPk6tvw
Mahindra XUV400 - Baap of all EVs?,2022-09-08T17:08:21Z,925068,20363,,1142,9KS1e7pBwOA
Mahindra Electric SUV -  All Major Details,2022-09-08T14:23:38Z,48643,2433,,51,gk6vVYWkLQk
Hyundai Venue - Drive your way off the roads,2022-09-08T06:30:01Z,132895,4479,,372,AIdN-mUZA7Q
You can't miss this!,2022-09-07T14:30:03Z,66228,3546,,31,6OgMhdNvkHA
We Drive the Most Futuristic Car in India,2022-09-07T05:30:08Z,338491,8142,,184,eqHa_MI2Hvs
Magical Car Seats - Never Seen Before,2022-09-06T07:27:59Z,1113319,97312,,353,nqEztZERVy0
Mercedes EQS - ka Awesome Steering,2022-09-05T10:15:39Z,113022,12694,,34,CKkpbx65gWw
Ye Sedan ka zabardast ground clearance hai!,2022-09-05T07:26:07Z,354432,30944,,89,ingXq4CwieA
Is this the Scorpio you Wanted?,2022-09-03T06:45:00Z,647197,16452,,558,7MKohAmYUlc
Hyundai Venue ka Unique Feature,2022-09-02T14:30:12Z,221759,14905,,80,wb4dDbNzzfM
Tata Nexon JET gets THIS finally,2022-09-02T08:30:02Z,89697,1939,,154,HkSqI0Q7sYQ
Tata Safari JET - Buy this for ONE REASON,2022-09-02T06:30:05Z,76744,1870,,130,Vbdtf-eh9e0
Tata Harrier gets Missing Features!,2022-09-02T04:00:00Z,213673,5144,,295,-BwslJfq9kQ
Mahindra XUV700 Service Cost will Surprise you!,2022-09-01T06:45:01Z,206791,5826,,308,ZWD6O7lKGmo
This SUV came to kill Fortuner! Couldn't do anything,2022-08-30T14:30:13Z,788074,7299,,511,wrEBkkM5Bzw
Driving faster than limit abroad - What happens?,2022-08-30T13:17:11Z,1337019,93479,,345,0fXn2j943c0
Hyundai Creta's Biggest Rival!,2022-08-29T14:30:05Z,276737,3921,,200,Pdqg_V6VLxM
Amazing technology in new cars,2022-08-29T10:47:21Z,75796,6141,,39,C3S4LdZvzPw
New CRETA gets so many Features!,2022-08-29T07:38:58Z,669591,31929,,177,PRkL04GUffw
CAN’T MISS: Amazing feature in ADAS,2022-08-28T14:30:14Z,135752,9395,,51,ecyosAMO36M
Toyota HyRyder - can it upset Creta?,2022-08-28T06:30:06Z,834872,14661,,922,ZAb6LnLwQ2U
Rs 11 lakhs Best Car to buy,2022-08-28T06:11:47Z,34821,1472,,133,VkEswOkJbo8
This SUV once competed with Fortuner - now it doesn’t,2022-08-27T14:30:11Z,154137,2605,,145,uUrGnylsuRg
Toyota new Hybrid Amazing Gearbox,2022-08-27T13:20:24Z,168837,10728,,48,gKxCc4EdzkU
Toyota HyRyder Boot Space,2022-08-27T11:22:38Z,254011,15041,,56,ThNPPprkjrU
Toyota HyRyder ka Hidden Feature,2022-08-27T09:31:48Z,182562,11073,,181,6E_ghYJQR94
Cool feature in Luxury Cars Only,2022-08-27T07:24:43Z,310730,28219,,245,7nVdjlRtDCU
Honda’s hatch against Baleno & Altroz,2022-08-26T14:46:08Z,1581536,20310,,1209,vcVNA3GoMs8
This Ferrari can be charged at home!,2022-08-26T11:04:54Z,21884,1001,,34,Ho4ukIyvZU4
Best Lambo in India?,2022-08-25T14:30:10Z,46392,2039,,99,kiE0HmNfHuM
New Honda SUV to compete with CRETA,2022-08-25T08:31:00Z,793941,7958,,539,EBLrMHhAxeU
This Mahindra SUV technology - Will blow your mind!,2022-08-24T14:05:54Z,272084,17713,,79,6YN82hI6aU4
New Maruti Alto -  Small car has so MUCH SPACE,2022-08-24T10:30:10Z,66571,1869,,172,c9zbM6kv7Kg
Most Futuristic Car Launched in India,2022-08-24T08:30:02Z,205988,4785,,187,GEnGoTaXCls
We need this Fortuner!,2022-08-23T14:30:00Z,1221913,23251,,735,0FkWVQ8smiY
Rs 14 Lakh - Amazing 7 Seater,2022-08-23T06:30:02Z,235571,4261,,172,BvWs9Dzejs0
Fortuner ko yeh SUV tension de sakti thi - Par Fail!,2022-08-22T14:30:06Z,1966944,20128,,830,V-csQxe_BhM
This SUV has the best design !,2022-08-22T06:30:07Z,429958,7320,,335,uJj0HkV2_F8
Safest Feature in Mercedes,2022-08-21T11:05:15Z,126229,10726,,90,vMKrJyc8-Z8
Rs 12 lakh Honda 7 Seater SUV!,2022-08-21T06:30:01Z,962770,11033,,507,88SDnKw2nxs
This SUV will Kill Fortuner!,2022-08-20T15:18:13Z,1610794,21644,,1811,5dzuFXZYbxI
Tata Altroz XT - Best Car in Rs. 8.5 Lakhs?,2022-08-20T06:30:08Z,1046131,13741,,763,ODZjg891Qec
CAN'T MISS: Hyundai Ioniq 5 - India Launch,2022-08-19T14:30:00Z,88461,1849,,91,al6E8ewBFi4
Tata Tigor  iCNG - Best CNG Sedan?,2022-08-19T06:30:05Z,169451,4679,,336,lf_hwlHPm-E
New Maruti Alto - Puri Nayi Car,2022-08-18T09:47:50Z,326599,5829,,537,WDkMVB-X8-I
New Kia Carnival - India mein CHAHIYE,2022-08-18T05:30:02Z,527401,9922,,437,6Gl7c1roGYc
Maruti Jimny - You will LOVE it,2022-08-17T14:30:18Z,293253,7017,,412,fR7ESIO8DJ0
Rs 9 lakh Honda SUV for India!,2022-08-17T09:30:12Z,279861,5988,,255,xa_PlqlzgHw
Hyundai Stargazer - Ertiga competition is READY!,2022-08-17T05:30:03Z,239188,3747,,291,ZMswWjV9Zn0
Mahindra XUV E9 SUV - Looks SO GOOD!,2022-08-16T10:00:36Z,56874,1977,,105,r9Ge_1aB6lI
Mahindra Electric SUV BE05 - Sportiest SUV Coming!,2022-08-16T07:00:28Z,67389,2714,,145,w6-PviG2fwY
Mahindra XUV700 Electric is here - its e8,2022-08-16T04:30:13Z,627281,18518,,581,f9HXVR5kEMs
Mahindra EV BE09 SUV is here!,2022-08-15T15:54:00Z,89147,3842,,247,1TKXLaAwu4M
Mahindra EV BE07 SUV is here!,2022-08-15T14:52:09Z,354502,10786,,521,a0u-rHeczY0
Mahindra new Electric SUVs - It’s here!,2022-08-15T12:29:15Z,232268,14517,,204,oTqIXhpu2pc
Mahindra 5 Electric SUVs - LIVE,2022-08-15T12:04:50Z,202220,6127,,128,I4FvF-bAsiY
CAN'T MISS: New Hyundai Creta - ALL DETAILS,2022-08-13T06:57:25Z,1013479,14948,,483,2hvtDOF5OQM
You won’t know this - Hybrid Cars Explained in 1 min,2022-08-12T11:03:35Z,1781346,58373,,232,3K0M7ESriZ0
Hyundai Tucson - What an SUV!,2022-08-12T04:30:09Z,970257,18568,,897,rHyDU-feGQE
Cheapest Electric Car for India,2022-08-11T12:01:06Z,347716,6457,,872,I3FE_ceWJE0
New Kia Carnival - Crazy UV,2022-08-11T09:27:20Z,298480,22069,,155,SYtOdkyL6-E
Hyundai Tucson ka Coolest Feature,2022-08-10T10:18:13Z,543105,41805,,212,wZYYYhj43NQ
Hyundai Tucson - Unique Safety Feature,2022-08-10T06:40:38Z,225682,18684,,201,eqydOPecGws
Royal Enfield Hunter 350 Review - Perfect RE for all?,2022-08-10T04:30:08Z,193747,4584,,270,Qqh_-Mg-vms
Tiago iCNG - Best CNG Hatchback?,2022-08-09T14:26:22Z,77560,4965,,34,4IyeQ8DncSw
Hyundai Tucson ka Anokha ADAS feature,2022-08-09T08:20:52Z,449858,30019,,158,apGsm8964Pk
Best looking car headlamps?,2022-08-09T06:52:46Z,1572954,95410,,322,wLeXyP2qLCg
Top 5 Cars in 20 lakhs in India,2022-08-06T06:45:00Z,232967,7091,,524,7w1By4QsrIk
Shocking Price of Airbags - Nitin Gadkari Confirms!,2022-08-05T15:13:03Z,1632853,107503,,1632,BC8EnN44Bvw
Royal Enfield Hunter 350 - New Roadster!,2022-08-05T06:11:36Z,298436,7721,,390,Iw7iP9yEWl8
Mahindra XUV300 - how is Base Model?,2022-08-04T11:07:28Z,104423,2526,,168,0mxpr8IYoyM
Maruti Grand Vitara - Top Features,2022-08-03T12:03:01Z,102606,4280,,43,anDaCFAWask
New Hyundai Venue - Top 5 Features,2022-08-03T07:29:40Z,115823,8771,,61,Hc0emIcmWQo
Tata Nexon EV PRIME - how it compares to Nexon EV MAX?,2022-08-01T06:30:08Z,147417,4197,,280,pP0vAAU2aTg
Best Car in 14 Lakhs - LIVE,2022-07-31T07:35:00Z,65864,2891,,294,rEloTyHpvMc
New Car Buyer Bad Habits?,2022-07-31T04:58:10Z,695318,41979,,278,spy3SMzfep0
Tata Nexon EV Prime - Kya hai Special?,2022-07-30T14:19:58Z,110976,8182,,56,Rjsz4ypiRBA
Maruti Brezza vs Venue vs Nexon vs Sonet vs XUV300 vs Urban Cruiser - Maha Comparison,2022-07-29T10:38:56Z,959563,21103,,1863,j_2Cj4NwuzE
Hyundai Venue - New Driving Modes,2022-07-28T13:41:00Z,155376,11810,,40,AxEd3J1ywg0
Mahindra XUV700 AWD ka Off Road Test,2022-07-27T08:45:47Z,265833,8552,,321,7JScdp5D5ZI
Maruti Brezza Design Secret,2022-07-27T05:12:48Z,81158,5964,,28,sjJ3tn-J03s
Maha Comparo Coming!,2022-07-26T10:57:43Z,102824,2890,,67,R0_YgiiTrrU
Hyundai Venue - ka kamaal ka feature,2022-07-25T13:42:43Z,373977,28408,,145,VvAjtqzy798
Mini Cooper SE - Electric vs Petrol,2022-07-25T08:59:44Z,177596,14379,,30,e9Gry6CX9lI
Best Car in 15 lakhs - LIVE,2022-07-24T09:04:27Z,77725,3185,,292,Mrp_psRG68U
Maruti Brezza Build Quality,2022-07-22T12:45:24Z,464910,26661,,536,ra_00tVRqJM
Mini ka Electric Model - What styling!,2022-07-21T12:35:27Z,229807,21484,,90,DMuYG4hUsm8
Maruti Grand Vitara - All Details,2022-07-20T11:13:27Z,2627552,42020,,1661,iPhugpB10NE
New Ather 450X - Ola Effect?,2022-07-19T10:30:08Z,138448,3848,,209,ouDoq3TJuig
Hyundai Tucson - Super Cool Feature,2022-07-18T14:16:37Z,215199,13597,,48,H9mFcn4BgfA
Can’t Miss: Build Quality of Cars in India,2022-07-18T07:11:32Z,476130,43175,,276,KtxJbzX7HJ4
New Audi A8L - S-Class competition?,2022-07-16T06:30:18Z,200696,5709,,157,yTi0L2RLYaU
SUV vs Sedan - Part 1,2022-07-15T15:29:30Z,533023,40663,,333,L4jlSBGFC50
BMW G310RR - Sportsbike for YOU?,2022-07-15T09:19:50Z,167882,5019,,542,9yArowa6tFE
Aap ke saath SCAM ho sakta hai - BEWARE,2022-07-15T06:03:39Z,92449,5630,,63,QDqDaYM9LdU
Mahindra Scorpio N ka Asli Test,2022-07-14T10:46:59Z,491314,15534,,749,9j62rro-HXs
Audi ka kamaal ka bonnet - Wait for the end,2022-07-14T07:43:24Z,626396,40372,,242,SAjB31EtQMg
New Hyundai Tucson - Premium 5 Seater SUV is here!,2022-07-13T09:12:58Z,852590,18137,,982,WfK0IyHz2Pc
Can’t Miss: Tata 10 EV Launches for India,2022-07-12T13:43:43Z,322454,25132,,868,PqMgbA4UKN0
5 New Mahindra SUV launches,2022-07-12T07:06:53Z,130100,11210,,166,tsmrdJ9QneU
"13,000km Tata Nexon EV Owners Review - Facing Service Problems",2022-07-11T11:04:08Z,204881,5505,,507,M8xM9v1vb1U
Best Car in 20 lakhs - LIVE,2022-07-10T06:20:34Z,35011,1873,,106,CdOgnks8PiI
BMW iX - Next Dream Car?,2022-07-09T07:45:01Z,317132,8161,,278,JWg-bsC49x8
Kya technology hai iss gaadi ki,2022-07-08T10:43:19Z,632918,54945,,95,JppBsx1jEuA
4 SUV launches in 1 year,2022-07-08T06:25:58Z,173204,15209,,199,Xnojl5mnWdg
Tata eVision - When is it coming?,2022-07-07T13:48:46Z,552132,40720,,185,73CHSNaut1c
Crash Ratings for ALL CARS in INDIA,2022-07-07T10:01:03Z,80096,7375,,132,W1MIK38aYsM
TVS Ronin - Enfield Competition?,2022-07-06T13:53:51Z,180566,5586,,360,ECuzo3YZw4Y
Maruti Brezza - is it worth the wait?,2022-07-06T11:30:27Z,548696,10775,,661,xEZ9Q5-Ib-8
Nayi Brezza ke Features,2022-07-05T14:29:18Z,356745,21753,,162,xOX0B5rP_3g
Nayi Maruti Brezza ka Best Feature,2022-07-05T10:25:38Z,206344,11262,,52,HZd9l3i45WE
Maruti Eeco ka Asli Usage - Never Seen Before,2022-07-05T05:30:05Z,150091,7636,,94,WF5gizIk1Dc
Force Gurkha vs Mahindra Thar - Which is the best?,2022-07-04T11:41:07Z,489185,12649,,657,tfq-Qcla7xs
2 door Gaadi ke Problems - Funny End,2022-07-02T13:49:46Z,4670344,264807,,306,Fr6EB1GfeYE
Nayi Scorpio N  ke colours,2022-07-02T10:09:58Z,194840,12218,,59,nUxJ4qchlfs
Toyota Urban Cruiser Hyryder - Creta competition SUV with AWD and Hybrid options,2022-07-01T08:19:15Z,1655052,25259,,1537,_wyJGwEmvT4
New Maruti Brezza - CNG Chahiye?,2022-06-30T10:51:31Z,482985,12983,,839,_toNLGi3tKM
Mahindra Scorpio N - Most Detailed Review,2022-06-30T04:30:14Z,2715972,54514,,2452,e3hPELQxT4M
Mahindra Scorpio N ka Waiting period?,2022-06-29T14:47:12Z,286245,11597,,515,e1DwAfBbG4w
Audi RS5 Review - What a beauty!,2022-06-29T07:40:00Z,107751,3855,,119,CDO_ymEfLA8
5 Reasons To Consider Jeep Meridian,2022-06-28T10:40:00Z,356429,8256,,418,gV9ka6ZPiUU
