Title,Published_date,Views,Likes,Dislikes,Comments,video_id
Defender - Can Charge electric car? #shorts,2021-09-04T06:30:03Z,2582774,121682,,334,FlOCZRmsNY8
New Mahindra Bolero Review - Love it Totally!,2021-09-03T06:48:53Z,472460,13064,,665,WiBJUe-K-oY
BMW ka functional car spoiler #shorts,2021-09-02T10:52:57Z,611476,26064,,197,nBIsIN2Fkoo
Super cool Car Key #shorts,2021-09-02T06:30:03Z,13675341,644360,,323,EFyFm0JSU1U
New Royal Enfield Classic 350 Review - LOVE IT!,2021-09-01T07:30:00Z,459841,12407,,617,0kaOuUeD9zo
Skoda ka Cool Gear-lever #shorts,2021-08-31T06:27:06Z,1122595,33760,,93,Y2fWbNI_8gU
Baap of off roaders #shorts,2021-08-30T16:08:17Z,178766,7021,,328,NQRxkT8v3TE
New Hyundai CRETA Owner’s Review - Like it or Not?,2021-08-30T06:30:01Z,174761,4726,,766,8du5SLg-PHg
3.5 crore ki gaadi ka BEST Feature #shorts,2021-08-28T15:19:03Z,2155717,107445,,506,yYzFQdfp21w
Defender ka Super Cool Feature #shorts,2021-08-28T09:20:45Z,1876787,41470,,98,kw3ac7kHirI
Gaadi Feature hai ya Magic? #shorts,2021-08-27T14:53:51Z,1088871,42519,,550,gH7OAz01NPY
Audi e-Tron Review - Shock laga?,2021-08-27T06:30:04Z,181164,5833,,262,__b9fY5VblE
2.5 crore ki gaadi ki Special SEAT #shorts,2021-08-26T08:38:09Z,3345752,190155,,426,cVzmVmFF9to
Kia Seltos X Line Walkaround - What does it offer?,2021-08-26T03:30:01Z,348371,9744,,584,P7FF5ljM2lI
New Honda Amaze Review - Asli Test DONE,2021-08-25T08:30:12Z,504521,10428,,537,lt96ofYmpeo
Lovely 360 Camera By Mahindra #shorts,2021-08-25T05:14:52Z,117147,4853,,87,KddPnkISKMw
Hyundai i20 N Line Walkaround,2021-08-24T13:17:09Z,238987,7296,,512,2Fftu6gUMBI
Crazy Features in Land Rover #shorts,2021-08-24T07:43:21Z,2134303,95374,,211,kPRA5EXgAn0
Tata Punch - Rs 6 lakh SUV Coming Soon,2021-08-23T12:44:38Z,624237,13905,,1473,o4dsVXhMZ1Y
"15,000km Tata Harrier - Owners Review - Service Experience?",2021-08-23T06:30:05Z,709714,18836,,746,mm8LEjWBQvk
1 crore ki gaadi mein Old school touchscreen #shorts,2021-08-22T11:01:16Z,349912,10299,,302,onu7XwqQZr4
"11,000km Hyundai i20 Review - Service Cost Included",2021-08-21T06:30:11Z,243120,7064,,721,kC_swNX4GBM
Can't MISS: Mahindra XUV700 - MOST DETAILED Review,2021-08-18T04:30:01Z,4374076,95559,,5652,9xOZvURqDeQ
Mahindra XUV700 - Things You Might Not Know,2021-08-17T04:22:24Z,840231,25364,,1211,GKNnUp957RU
Tata Nexon EV Owner's Review - Rs 3 lakhs saved every year,2021-08-16T06:30:06Z,463690,11178,,961,w3NeLWON4LM
Best Car in 14 lakhs -LIVE,2021-08-15T16:45:01Z,139725,4473,,219,xkRSwnOR0LY
Can’t MISS: Hyundai i20 ka EPIC Trip #shorts,2021-08-14T06:30:03Z,81172,3413,,101,RCnSVXW7fYE
Tata Safari vs Toyota Innova vs MG Hector+ vs Hyundai Alcazar Comparison,2021-08-13T06:30:13Z,1241220,22873,,2027,mCP4El4sjfQ
Tata Tiago NRG Review - Value for money?,2021-08-12T07:57:28Z,523296,14049,,592,EPC0nQAN3qk
Tata Nexon - 10 Reasons to buy,2021-08-11T06:30:01Z,811204,20205,,1974,ITNXJBiUFX0
Can't MISS: Mahindra XUV700 - 7 Reasons to WAIT!!!,2021-08-10T07:30:59Z,318085,11427,,679,Yz0hZap4M_U
VW Taigun Most Detailed Review - Better than Creta?,2021-08-09T04:30:02Z,627213,11645,,622,FgpioFYN6cg
Best Car to Buy in 11 lakhs - LIVE QnA,2021-08-08T16:21:01Z,45072,2282,,78,IktI-GRiNI0
Tata Tiago NRG Walkaround - Alag Kya Hai?,2021-08-07T06:28:40Z,87220,3273,,211,jf2ANwukREA
Mahindra Bolero Neo Asli Test - Hai Dum?,2021-08-05T06:30:04Z,565498,15532,,774,bQNtrd58Ay4
Tata Harrier XMA Walkaround - Value for money?,2021-08-04T07:05:49Z,166580,4468,,258,W0auLXmi8PQ
Best Sunroof  - Never seen before #shorts,2021-08-03T10:57:23Z,2428333,105223,,225,KqsjKQWOSLM
"14,000km Mahindra XUV300 Owner's Review - Good Points and Problems if Any?",2021-08-02T06:30:03Z,348655,8894,,827,7JFBTx4bYH4
Best Car to Buy in 13 lakhs - LIVE QnA,2021-08-01T09:19:34Z,60933,2206,,217,G8yiDHOpM4c
New BMW 5 Series - LOVE AT First Sight!,2021-07-30T08:11:44Z,184434,5932,,264,E1woOUyFaYE
Tata Tigor vs Ford Aspire vs Hyundai Aura Comparison - Best value for money?,2021-07-27T08:55:11Z,396895,9483,,1220,UKxcgdIkQqo
Tata Altroz iTurbo Owner's Review - Happy or not?,2021-07-26T06:30:01Z,129084,5185,,356,Fe7y5Be5lgE
Best Car to Buy in 11 lakhs - LIVE QnA,2021-07-25T06:10:42Z,47515,2457,,233,1DJzcMN4miU
2021 Mercedes G Wagon BLACK Review - LOVE IT!,2021-07-23T08:42:37Z,840847,19931,,758,DUzBmu0idTg
Mahindra XUV300 - 10 Modes of AutoSHIFT,2021-07-22T06:30:04Z,194301,11619,,605,Pelx540jnL8
CAN'T MISS: BMW 7 Series - 7 Cool Features,2021-07-21T07:22:19Z,221200,8331,,295,wIwozP4tXFM
"18,000km Nexon EV Owner's Review - Rs 1 LAKH SAVED in 1 year!!",2021-07-19T06:30:06Z,863796,18985,,1739,wflHrvLIhns
Best Car in Rs 12 Lakhs - LIVE,2021-07-18T06:09:03Z,219290,7182,,434,1RwgrOWKbPo
Mahindra Bolero Neo - Best SUV for Young Bharat?,2021-07-17T04:00:00Z,1320229,36292,,2204,1-JhLfviRVI
BMW Anokhi Chaabi - Magic #shorts,2021-07-16T05:30:04Z,12136057,546612,,906,JsL1VCSCPno
Mahindra XUV300 - 7 Reasons to Buy,2021-07-15T06:30:14Z,858129,22800,,2324,mACg8hoDarY
Save Rs 2.75 Lakhs on Nexon EV | GoElectric,2021-07-14T12:41:11Z,132266,4767,,369,R2fKqh_4k8k
Nissan Magnite Owner's Review - How's the josh?,2021-07-12T08:44:29Z,441259,10064,,947,iYmx9UHhdZ4
Best Car in Rs 11 lakh LIVE,2021-07-11T15:17:02Z,84924,3590,,456,tyBCWejR31I
Tata Nexon EV Dark Edition  - Best Looking Dark?,2021-07-10T06:30:01Z,308332,5056,,183,I_c3_VLTtJQ
New Tata Harrier Dark Edition - WOW! Looks Devilish!,2021-07-09T14:30:08Z,614602,10458,,463,qX_1uO0FAg8
Tata Nexon Dark Edition Walkaround - Darkest Compact SUV,2021-07-09T06:30:03Z,566927,7873,,328,hgNEZCYr7iU
Tata Altroz Dark Edition - Looks WOW!,2021-07-08T14:30:49Z,449516,9946,,453,PaD-p5f1HR8
Hyundai Alcazar vs Hyundai Creta - Which to buy and why?,2021-07-07T06:30:02Z,261537,5945,,375,G_qYN69_Zqo
Mercedes GLS 600 Maybach Review - WHAT LUXURY!!!,2021-07-06T05:30:01Z,462017,13325,,766,5AyuIPqfBig
New Mahindra Thar Owners Review - Worth it or no?,2021-07-05T06:30:16Z,276396,9278,,501,yEWt_cr3S_A
Best Car in Rs 14 lakhs - LIVE,2021-07-04T05:30:09Z,61775,3227,,242,bYoqYIjwUL0
Hyundai Creta vs Skoda Kushaq Comparison - Which to buy?,2021-07-02T06:30:06Z,782827,13014,,1169,Kd5I2E6RQU8
Tata Safari - Feature You Didn’t Know #shorts,2021-07-01T14:35:26Z,2178696,82826,,205,_zwzO2AGoaI
BMW X1 vs Mercedes GLA Comparison,2021-07-01T08:39:57Z,453952,11458,,416,wQuHKalLK84
Magical Car Entry Feature #shorts,2021-06-30T14:30:09Z,1072605,46076,,176,e-qDvHu1L3k
New Mercedes S-Class Review - Class Apart,2021-06-30T05:30:05Z,516430,14598,,491,ul2CJyoFjxw
Tata Safari vs Hyundai Alcazar Comparison - Most Detailed Ever,2021-06-29T06:30:02Z,1075411,25861,,2567,QvAmU-cqHh0
Tata Harrier Automatic - Owner's Review - Happy or Not?,2021-06-28T06:30:07Z,399202,13404,,1053,dN6OgySz520
Best Car in 15 Lakhs -LIVE,2021-06-27T06:09:03Z,66328,3741,,373,Vtf4ot8KBRE
Skoda Kushaq Review - Complete Asli Test,2021-06-26T04:00:01Z,715664,16365,,1155,34W-9UE99aE
Hyundai Alcazar Review - Asli Test DONE | Hindi,2021-06-25T05:30:05Z,658769,16349,,1033,Fxj8-qjNz6E
Best Car Seat in the World - S Class #shorts,2021-06-24T15:41:10Z,88793,3661,,61,zW0CeHi4wWA
Nissan Magnite 1 Month Review | Hindi,2021-06-23T11:09:49Z,323198,8335,,834,U4dQ-IUEVU0
Mahindra Thar - Is it Worth the Wait?,2021-06-22T06:29:58Z,1055900,27575,,801,6i2t3C2MUCs
Best car in 15 lakhs - LIVE,2021-06-20T06:09:47Z,93377,4239,,422,bZng65Q7WbY
"15,000km MG Hector Review - Service Cost | Hindi | MotorOctane",2021-06-19T06:30:29Z,74519,2616,,284,X7-q6RdqA3s
Skoda Kushaq - Most Features #shorts,2021-06-18T14:30:06Z,65360,1904,,38,pSpl2frwh_M
7500km Tata Altroz iTurbo Review - Service Cost Included,2021-06-18T06:30:00Z,399512,13902,,1038,Aw7gFlSzayU
New Mercedes GLA Review - Compact SUV - Worth the money?,2021-06-16T06:29:39Z,429965,10882,,695,Czyv2ZFSgkA
Tata Altroz - Feature you didn’t know #shorts,2021-06-15T14:30:12Z,539269,17003,,120,u_KoLADu4xA
Skoda Octavia - Cool Volume Adjustment #shorts,2021-06-14T15:24:46Z,52198,2155,,35,-VRyCUgFbJ8
"New Maruti Vitara Brezza - Launch Date, Price and Features | Hindi | MotorOctane",2021-06-14T06:50:09Z,295209,7994,,733,mbmoLgxilVY
Best Car in Rs 13 lakhs - LIVE,2021-06-13T06:50:20Z,145793,6620,,544,UG5JaTYAZFw
Skoda Octavia ka MUST See Feature #shorts,2021-06-12T14:30:05Z,60953,2563,,34,b81fWtU5Nmc
Toyota New Rs 11 lakh SUV - All NEW SUV against Creta,2021-06-12T06:48:38Z,260016,5170,,300,p7HOv_yqNc0
Top 10 Cars in June 2021 - Surprising Numbers!,2021-06-11T06:30:00Z,183444,7526,,345,auanZYhpVZE
Mercedes ka super cool - Seat folding #shorts,2021-06-10T15:23:28Z,6157237,169337,,244,9hIX4uinJdQ
"New Skoda Octavia Review - Variants, Engines, Mileage, Features, Price in India",2021-06-09T07:30:03Z,953731,20349,,973,_j0vjnlYhAM
New Mercedes GLS Review - S-Class of SUVs | Hindi | MotorOctane,2021-06-08T06:29:59Z,691925,17371,,462,_THrEhstn9w
Best Car in 15 lakhs -LIVE,2021-06-06T06:08:14Z,60594,3354,,304,-czHyq4nnVs
Top 22 Cars Coming in 2022 - EXCLUSIVE,2021-06-04T07:32:28Z,635075,14819,,1016,EgQuE2EoNTU
Mini Cooper Countryman JCW 2021 - Review,2021-06-02T07:19:48Z,265328,6293,,277,8BLtWSe04_s
Top 5 Car Launches in June - EXCITING CARS,2021-05-31T06:30:04Z,257513,9461,,561,s_sA9Q5bros
Best  Car in 13L - live,2021-05-30T06:16:50Z,45400,2432,,243,BPEZQtFYrTM
Headlights - Nexon vs XUV300 vs Sonet vs Magnite vs Venue vs Ecosport vs Brezza #shorts,2021-05-29T14:43:41Z,80044,3464,,209,QZntNw8S5s0
BREAKING - New 9 Mahindra SUVs Coming,2021-05-29T12:40:37Z,203778,8881,,544,YUiHob6nV5o
Top 5 Cars Under Rs 10 lakhs in 2021 - MUST SEE,2021-05-28T06:33:04Z,881705,22391,,1205,WDOwm2NAtp4
Mahindra XUV900 - What is this?,2021-05-26T08:11:01Z,107492,4626,,257,NjuL8C0znF8
Top 5 Under-rated Cars in 2021 - Hindi,2021-05-25T06:30:04Z,170283,7719,,709,MSot4awkBmU
Nissan Magnite ka Super Cool Feature #shorts,2021-05-24T14:30:01Z,55592,2158,,74,9zy8xW5w4Ms
Mahindra Marazzo - To be Discontinued?,2021-05-24T06:30:01Z,64259,2873,,278,GACPSguc8WE
Best car in 14 lakhs -LIVE,2021-05-23T16:08:13Z,55085,2525,,339,w2C8hD8jPjQ
Exclusive: New Mahindra Scorpio - Full Interior #shorts,2021-05-22T14:30:15Z,194821,5867,,202,kBSVU5K7jLQ
Tata E-Vision - 1000km Range Electric Sedan? What is it?,2021-05-22T06:30:03Z,439013,13921,,659,rgfn0aE5vL0
"New Maruti Celerio - Launch Date, Price revealed",2021-05-21T07:16:30Z,99476,3231,,304,pzZxDGB10wU
New Mahindra Scorpio - Launch Date and Price,2021-05-20T06:54:24Z,409839,17046,,662,rlG8pOQ0G38
Maruti Jimny 5 Door Coming Next Year - All Details,2021-05-19T06:30:08Z,165881,5813,,430,Vr8nTHsoHG0
New Mahindra XUV500 - When is it coming?,2021-05-17T06:30:01Z,106198,4896,,247,J2sywLQozvo
Best Car in 10 lakhs -LIVE,2021-05-16T15:01:33Z,43105,2886,,329,cb_KnNeoguY
Hyundai Creta vs Alcazar Quick Comparison,2021-05-15T08:23:50Z,84169,3233,,234,18lHXDTAjXY
Isuzu V-Cross is it Expensive?,2021-05-14T06:30:02Z,101814,3619,,296,RU0KOTLqzVw
360 camera ka kamaal #shorts,2021-05-13T14:30:01Z,109008,3324,,73,97jlWgWzzHI
Magical Feature - in Hyundai Creta #shorts,2021-05-12T14:30:03Z,390193,10020,,151,EySZVYbm0qg
Rs 6 lakh Hyundai SUV Confirmed for India - All Details,2021-05-12T07:45:01Z,115730,4276,,322,K7EaG5h0i10
Rs 12 lakhs Honda 7-seater SUV for India?,2021-05-11T06:30:01Z,109201,3574,,217,CqeSW7QY8F8
Kia Marazzo Competition For India - Launch Timeline,2021-05-10T06:30:06Z,91823,3663,,291,D85gjlmiB0c
Best car in Rs 12 lakhs - LIVE,2021-05-09T06:08:32Z,68289,3690,,346,tw506fZtcpc
Tata Altroz - Awesome Band #shorts,2021-05-08T14:30:06Z,211323,5335,,171,GpS-aD61M50
Top 10 Cars in India - May 2021,2021-05-08T06:30:02Z,225363,7924,,522,SPifdepa3wM
"10,000km Hyundai Creta Turbo Review - Is it worth it?",2021-05-06T06:48:32Z,214543,5165,,429,bDkS8xt59dI
Mahindra XUV100 & XUV900 - Coming by when?,2021-05-05T06:30:02Z,66244,4098,,233,HI9yoIJ3Nog
Toyota Innova vs Tata Safari Comparison - Which to buy?,2021-05-04T06:30:04Z,322090,8359,,1012,UpIzEp4k6jE
Hyundai Creta - Feature you didn’t know #shorts,2021-05-03T14:41:27Z,201984,8243,,338,oWF_KpI7pEw
Tata Sierra - When is it Coming?,2021-05-03T07:30:03Z,160576,5819,,400,UQELrVTB9S0
Tata Altroz - Hindi mein baat karti hai #shorts,2021-05-01T14:30:03Z,87404,3529,,113,WU1rwgnVFc0
Rs 8 lakhs Toyota MPV for India | Hindi | MotorOctane,2021-05-01T06:33:25Z,148536,4337,,456,YkGBoaSo5Dw
Magic Touch on Steering Wheel #shorts,2021-04-30T14:30:04Z,245024,5545,,82,n8g3OqhPbnE
Tata HBX ke Interiors SPOTTED! EXCLUSIVE,2021-04-30T07:00:27Z,272073,8128,,454,xsdPHO23Nr0
Citroen ka Anokha Gear #shorts,2021-04-29T14:24:54Z,4408853,99782,,279,c0nBvgCChCg
Mahindra Thar 5 Door Coming? | Hindi | MotorOctane,2021-04-29T06:30:03Z,235940,5961,,302,RHSnC4Jg4QA
Rs 9 lakh Toyota sedan is coming - All Details,2021-04-28T08:42:20Z,192363,5979,,557,tbuhXQ6LxEo
Rs 8 lakh SUV - Citroen - Nexon Competition,2021-04-27T07:23:36Z,160184,4735,,286,Up8qboOcL38
Honda Activa Electric - is it Coming?,2021-04-26T07:15:05Z,381391,7164,,260,VZa9RY8MDPI
Tata Harrier or Safari?,2021-04-24T06:30:08Z,295263,9907,,647,qrBoI4Dp8uQ
5 Mistakes While Buying Car Insurance - Hindi,2021-04-23T06:30:13Z,50263,1987,,136,zU6Zn6uGPJI
How to drive automatic car | MotorOctane,2021-04-21T06:30:01Z,901212,39475,,719,0O6acqxlhMI
"Kia Seltos Gravity Edition - Launch Date, Price, Features!",2021-04-20T06:48:37Z,153424,4960,,290,NEnszXstKxc
5 Tips to Improve Car Mileage #shorts,2021-04-19T15:27:35Z,91384,6501,,73,2eD90xmPVH0
Mercedes A-Class vs BMW 2 Series Comparison,2021-04-17T06:59:20Z,341905,9308,,474,1WC8wYNiA_g
Paddle Shift - How it works? #shorts #carknowledge,2021-04-16T11:32:16Z,52282,2793,,68,zx9EORPTVB4
New BMW 2 Series Petrol - Most Affordable BMW in India,2021-04-15T07:19:22Z,243073,6810,,275,zSGdWI6rlnM
Skoda Kushaq or Hyundai Creta? What should you buy?,2021-04-13T06:30:02Z,190126,4875,,480,WU2loY1jO9c
"23,000km MG Hector Owner’s Review - Instead of Verna - Why?",2021-04-12T06:30:03Z,175239,4720,,993,sq7uETK_5AA
Honda CB 350 RS Review - Isn't worth it?,2021-04-10T06:47:29Z,199341,3651,,262,sySMEAV2bi4
Hyundai Alcazar Short Drive - CAN'T MISS!,2021-04-09T05:30:03Z,480466,15517,,817,y0Tb0f_3Gq8
Premiere 118 NE - Story you didn't know #shorts,2021-04-08T16:30:06Z,30595,1972,,45,Ut8COVoXSmo
Top 5 Cars in Rs 12 lakhs,2021-04-08T06:30:02Z,343386,9679,,689,oouKMw-EIZw
Highest Electric Car Sales - 130 years ago #shorts,2021-04-07T16:30:05Z,35136,1798,,35,KMwTyOlGlds
Top 10 Cars in April 2021 - All Details,2021-04-07T06:30:03Z,123709,4352,,342,LMeTMbGFcas
Maruti Volkswagen or Maruti Suzuki? #shorts,2021-04-06T14:30:00Z,105474,9459,,141,C63_5_JDpXk
"Tata HBX - Launch Date, Price, Features, AMT?",2021-04-06T06:30:03Z,278218,8535,,425,bsxN6QjeBoA
Kia Sonet 7 Seater in the Making?,2021-04-03T12:43:50Z,63281,2754,,229,hLLPFMhsxug
World's First Car DRIVE  #shorts #MotorOctane,2021-04-02T15:20:40Z,22991,1834,,52,Fz7Mw_cD2JI
Top 5 SUVs Coming in India in 2021 - All Details,2021-04-02T10:12:58Z,222492,7893,,506,L-tvSlxrCcI
"New Mahindra XUV500 - Launch Date, Price & other Details",2021-04-01T06:30:03Z,213905,6466,,474,m6R2i9IdSt8
India ki pehli Swadeshi gaadi #shorts #MotorOctane,2021-03-31T15:14:59Z,68196,4631,,111,N1LUd9HRIlE
Top 5 Cars in Rs 15 lakhs in 2021  - Can't Miss!,2021-03-31T08:58:15Z,572709,15519,,912,kfK-BEX7wnI
BMW Reverse Assistant #shorts,2021-03-30T15:35:44Z,52269,2441,,54,pSM5JLcjjwc
"Hyundai Alcazar - Price, Launch Date, Engine Options",2021-03-30T08:11:15Z,170359,5917,,322,voYM93yQ5ZU
New Mercedes E Class ka rear seat tablet #shorts #cars,2021-03-29T05:30:01Z,53630,1793,,38,Fw4n9z1X_6A
Mahindra Thar - Walking the Car #shorts,2021-03-28T08:37:19Z,8279952,404225,,1537,P1f2H7bTlTo
Honda CB500X First Ride Review - Adventurous Enough?,2021-03-28T04:30:01Z,28588,1051,,81,On-SoroJ4s0
Thank you GUYS! LOVE YOU,2021-03-27T06:30:00Z,22337,2737,,496,JZXkLTqKyJE
Best Affordable Electric Scooter in India 2021?,2021-03-24T06:30:03Z,477923,12342,,785,ztdCZFwv3Dc
New BMW X3 30i Review - Its Super FUN!,2021-03-23T07:30:20Z,207669,5302,,208,mSG5-xspHPU
"52,000km Maruti Vitara Brezza Owner's Review",2021-03-22T06:33:47Z,175816,5289,,365,s4RMa6zU5Bg
Renault Kiger AMT Drive - Should you consider?,2021-03-20T06:30:06Z,174064,2847,,225,l--GOesfbpQ
New Mercedes-Benz E-Class Review - Style and Substance,2021-03-19T08:13:55Z,468208,10484,,434,CcjRBY_V8HE
"Skoda Kushaq - Features, Design, Engines and Launch Timeline",2021-03-18T11:48:56Z,584514,20993,,1088,i0Z1d3_RJco
Skoda Kushaq LIVE Unveil -,2021-03-18T10:43:17Z,78259,2094,,153,FbpRFTLZxmw
New Bajaj Avenger 220 Review - What a Bike!,2021-03-18T06:30:01Z,187980,4345,,473,2KFofMmL6ds
Ford Ecosport SE Review - What's Different?,2021-03-17T06:53:21Z,456655,9008,,809,Ev4tWRsloVE
Mini Cooper JCW - Fastest Mini in India!,2021-03-16T06:30:01Z,473277,10492,,364,S9Lw2detMqc
"34,000km Wagon R CNG Review - Service is very expensive",2021-03-15T06:30:01Z,428051,7981,,726,MuOrvTghdno
New Toyota Fortuner vs MG Gloster vs Ford Endeavour vs Mahindra Alturas | Maha Comparison,2021-03-13T09:35:53Z,1164898,29429,,2009,QKpxiSWYcPE
Renault Kiger RxT Walkaround - Rs 7.8 lakhs (on-road),2021-03-11T06:30:01Z,215453,4135,,257,LLaGszeZ-q0
"40,000km Maruti Ignis Owner's Review - Expensive to Maintain?",2021-03-10T09:17:51Z,363328,8662,,828,dOLCHwmRIlk
New Toyota Legender - New Fortuner Tale!,2021-03-09T06:30:02Z,768724,17214,,1295,sS5E1Ap2tXA
"Renault Kiger RxL Walkaround - Rs 7.4 lakhs (on-road, Mumbai)",2021-03-08T06:30:01Z,246393,4600,,200,02px1m_6aIg
New Maruti Swift Review - What Performance!,2021-03-07T12:00:10Z,658416,13342,,1160,nP56f504MRk
BMW M340i Review - LOVE IT!,2021-03-05T06:30:00Z,170709,6414,,237,0mSip9LQ3iw
Tata Safari Adventure Persona Walkaround - All Details,2021-03-04T14:50:44Z,428804,10344,,597,W5M45esbZoA
Mahindra Marazzo Modified - Camping MPV | MotorOctane,2021-03-03T07:47:54Z,78343,4474,,266,ibfvy10n2bo
MG Hector Owner's Review - Owner Khush hai ya nahi?,2021-03-02T06:30:00Z,224123,6278,,1353,Q5YM-L9BKLY
Mercedes-Benz A-Class Sedan - Funk and Elegance,2021-03-01T05:30:04Z,533980,14406,,551,qRwjchLd9TM
Tata Safari - Top 7 Features,2021-02-26T06:30:07Z,897697,33866,,799,u3R4c1dip6I
ANNOUNCEMENT - Long Term Reliability Report | MotorOctane | Hindi,2021-02-25T09:18:30Z,33666,1513,,118,lFwDHD-sZPw
"10,000km Hyundai Creta Long Term Report - Good & Bad Both Covered",2021-02-24T06:30:03Z,595893,17803,,900,pZsG8KvO2zs
"25,000km Abarth Punto - Modified - how is service?",2021-02-22T06:30:00Z,123653,4830,,431,8UV-eF7WD5Q
Honda CB350RS Walkaround - What does it offer?,2021-02-20T06:30:02Z,73308,1633,,66,sTNexyyC6vg
MG Hector CVT Review - EXCLUSIVE!,2021-02-19T14:30:20Z,316602,7557,,473,hMQo0rhkWbE
Renault Kiger Review - Non Turbo Model,2021-02-17T16:57:13Z,1335548,31521,,1400,Ry94vpFh-UE
Mercedes GLC 2021 - BEST SUV in its segment!,2021-02-17T08:30:03Z,419177,9669,,419,a3oYs1tatZg
"47,000kms Maruti Alto Owner's Review - Kwid sahi nahi thi?",2021-02-16T06:30:04Z,202902,5922,,577,jIX1fC4mQzQ
Citroen C5 Aircross Review - Most Detailed Hai!,2021-02-15T03:30:03Z,504073,11673,,543,KL2IyzxS8k4
New Jeep Compass Review - More than a facelift?,2021-02-12T08:12:21Z,654870,13611,,605,Hr27WL1s-Lg
Mahindra XUV300 AMT vs Kia Sonet DCT  |  महिंद्रा XUV300 AMT vs किआ सोनेट DCT  | हिंदी | MotorOctane,2021-02-11T06:30:02Z,495572,8866,,660,f8GfgxXYX1o
Best Naked Allrounder - BMW G310R vs KTM Duke 390,2021-02-10T06:33:39Z,459448,13699,,839,qUkqdj8Sd40
"40,000km Ecosport - Complain toh hai - par does he like it?",2021-02-09T06:30:01Z,309313,8185,,837,NHgC8bvcvYg
CITROEN C5 AIRCROSS - WALKAROUND - HINDI | MOTOROCTANE,2021-02-08T08:30:55Z,631326,16821,,939,XOOc6kJnHbg
Mahindra XUV300 Petrol AMT Review - Can't miss,2021-02-06T08:30:03Z,236894,5390,,345,u8fw60Xvtu0
ANNOUNCEMENT - Owner's Review,2021-02-04T08:30:21Z,29512,1687,,96,zMcY13iECMQ
"7 Naye Mahindra Launch Is Saal - Scorpio, XUV500, Bolero",2021-02-03T06:30:10Z,120983,6084,,398,x3J1QwKUGRc
Top 10 Cars in Feb 2021 - Hindi - MotorOctane,2021-02-02T10:24:22Z,119542,4567,,428,1voloFGr5wk
New Tata Safari Asli Test  - Most Detailed Review,2021-02-01T03:30:03Z,1091732,33155,,1564,xYLsEhATOyc
Tata Safari Teaser # 2 #shorts,2021-01-31T12:06:40Z,56036,1897,,111,lqmDiCdftHs
New Tata Safari - Review Coming #Shorts,2021-01-31T01:03:26Z,75654,3185,,128,n8EoapAKrHo
Value for money ADVs - KTM Adventure 250 vs Royal Enfield Himalayan,2021-01-30T12:23:26Z,74000,2149,,173,3mSo0S9WSdo
NEW TYRE INFLATOR! Good or Bad? - Hindi | MotorOctane,2021-01-30T06:49:41Z,43727,1466,,147,TlhzVS4Hkes
"10,000km Tata Tigor Owner's Review - Hindi | MotorOctane",2021-01-29T06:30:03Z,203758,6689,,709,CViX6E3lZI0
5300km MG Hector Long Term Review - Service  Cost included,2021-01-28T06:30:05Z,152291,4517,,415,nWxNnHRaka0
Best Car Insurance - Episode 1: Types of Insurance,2021-01-27T06:29:56Z,93810,2937,,128,sdaE4vG_7Ko
Tata Safari 2021   - All Details,2021-01-26T17:09:36Z,515165,15285,,899,KihRvhb__u4
Skoda Kushaq - Launch in March,2021-01-25T13:31:07Z,48591,1631,,173,ELx8KljFI6o
Tata Altroz 2021 vs Hyundai i20 Comparison,2021-01-25T07:33:49Z,776529,19008,,1445,nfDOkce_6ws
CAN'T MISS: Tata Altroz iRA - All  27 Features Explained,2021-01-23T06:30:04Z,187812,9368,,703,b_Y9u--wYVU
New Mahindra XUV500 - 5 New Features we didn't know,2021-01-21T06:30:01Z,132594,5924,,269,MrHPnZXiR4c
Tata Altroz Turbo Review - So much FUN!,2021-01-20T04:30:01Z,359583,12108,,767,SRA-LL6gd-E
Top 10 SUVs in India - Which are those?,2021-01-19T06:30:02Z,292055,7453,,594,z2ENuuzl_Qo
Mahindra Thar ka Asli Test Video - On and Off-Road also,2021-01-18T06:30:01Z,223007,7315,,267,N0PO5-Ile9M
BMW Reverse Assist Feature,2021-01-17T03:25:04Z,36360,1384,,28,bE8ZfapkkPY
Hyundai Venue S - Is it worth it?,2021-01-16T06:30:05Z,79179,1713,,194,j3sgzn0M-PE
"15,000km MG Hector 1 Year Owner's Review",2021-01-15T06:30:01Z,215773,6829,,988,gu6XT1bkwHo
BMW 3 Series Gran Limousine - Long Wheelbase Review | MotorOctane,2021-01-14T06:30:01Z,294946,9367,,235,ZzVcT1fFE6E
"Tata Altroz iTurbo - Variants, Features, Mileage and All Specs",2021-01-13T11:57:33Z,151068,8352,,594,LVXDGaeclb0
New Mahindra XUV500 is here - Launch VERY SOON,2021-01-12T07:15:59Z,150662,5472,,435,Pw7T1pr79h8
Mercedes GLE - Suspension Lowered,2021-01-12T04:30:07Z,43525,1163,,25,sNtmcoLBWDI
Apple to launch a CAR! - Hindi | MotorOctane,2021-01-11T14:36:46Z,63026,3154,,293,sR8CrriuzVI
Royal Enfield Meteor 350 Fireball - Accessories and style,2021-01-11T06:30:01Z,216537,4367,,229,0RU4q9uZNpI
New Mahindra XUV 300 W8 - Best Variant?,2021-01-09T11:26:22Z,358345,6379,,395,SqKb14xhbdc
Hyundai Grand i10 Nios Sportz - Best seller?,2021-01-09T06:30:02Z,100137,2181,,289,CJufBHXNiwU
